,Rank,Player,Team,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,ERA.1,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,Year
75,22.0,레이예스,SK,4.84,30.0,8.0,13.0,0.0,0.0,0.381,173,157.0,15.0,91.0,7.0,135.0,99.0,93.0,1.43,4.84,2.0,1.0,15.0,0.0,751.0,2939.0,0.249,36.0,0.0,17.0,6.0,0.0,11.0,0.0,2013
76,23.0,김혁민,한화,5.4,42.0,5.0,10.0,0.0,11.0,0.33299999999999996,146 2/3,142.0,25.0,60.0,12.0,96.0,93.0,88.0,1.38,5.4,0.0,0.0,7.0,0.0,635.0,2363.0,0.259,24.0,4.0,8.0,7.0,2.0,12.0,0.0,2013
77,24.0,소사,KIA,5.47,29.0,9.0,9.0,0.0,1.0,0.5,164 2/3,196.0,11.0,68.0,9.0,143.0,111.0,100.0,1.6,5.47,0.0,0.0,10.0,0.0,748.0,2941.0,0.298,28.0,9.0,8.0,5.0,3.0,10.0,1.0,2013
78,25.0,이브랜드,한화,5.54,32.0,6.0,14.0,0.0,0.0,0.3,172 1/3,190.0,7.0,65.0,10.0,129.0,110.0,106.0,1.48,5.54,2.0,0.0,12.0,0.0,758.0,2905.0,0.287,37.0,5.0,16.0,6.0,0.0,11.0,0.0,2013
79,1.0,밴덴헐크,삼성,3.18,25.0,13.0,4.0,0.0,0.0,0.765,152 2/3,125.0,15.0,45.0,5.0,180.0,54.0,54.0,1.11,3.18,1.0,0.0,16.0,0.0,622.0,2598.0,0.222,30.0,1.0,7.0,2.0,0.0,4.0,0.0,2014
80,2.0,김광현,SK,3.42,28.0,13.0,9.0,0.0,0.0,0.591,173 2/3,178.0,10.0,81.0,3.0,145.0,77.0,66.0,1.49,3.42,1.0,0.0,15.0,0.0,749.0,3009.0,0.27399999999999997,36.0,4.0,12.0,3.0,1.0,9.0,1.0,2014
81,3.0,밴헤켄,키움,3.51,31.0,20.0,6.0,0.0,0.0,0.769,187,193.0,9.0,53.0,3.0,178.0,81.0,73.0,1.32,3.51,0.0,0.0,18.0,0.0,788.0,3266.0,0.27,33.0,5.0,10.0,6.0,0.0,6.0,2.0,2014
82,4.0,찰리,NC,3.81,28.0,12.0,8.0,0.0,0.0,0.6,165 1/3,184.0,13.0,55.0,9.0,92.0,90.0,70.0,1.45,3.81,1.0,1.0,16.0,0.0,718.0,2747.0,0.29100000000000004,31.0,0.0,16.0,5.0,0.0,5.0,2.0,2014
83,5.0,니퍼트,두산,3.81,30.0,14.0,7.0,0.0,1.0,0.667,179 1/3,186.0,17.0,48.0,6.0,158.0,83.0,76.0,1.3,3.81,1.0,0.0,16.0,0.0,760.0,3007.0,0.26899999999999996,20.0,1.0,7.0,7.0,0.0,10.0,0.0,2014
84,6.0,리오단,LG,3.96,28.0,9.0,10.0,0.0,0.0,0.474,168,177.0,13.0,37.0,10.0,77.0,80.0,74.0,1.27,3.96,2.0,1.0,16.0,0.0,707.0,2691.0,0.27399999999999997,32.0,5.0,9.0,5.0,1.0,8.0,0.0,2014
85,7.0,에릭,NC,4.01,30.0,8.0,8.0,0.0,0.0,0.5,172 2/3,169.0,14.0,62.0,14.0,112.0,86.0,77.0,1.34,4.01,1.0,0.0,16.0,0.0,749.0,2791.0,0.258,22.0,2.0,10.0,7.0,0.0,5.0,0.0,2014
86,8.0,우규민,LG,4.04,29.0,11.0,5.0,0.0,0.0,0.688,153 2/3,170.0,11.0,34.0,12.0,103.0,78.0,69.0,1.33,4.04,0.0,0.0,13.0,0.0,653.0,2472.0,0.284,18.0,5.0,4.0,4.0,1.0,2.0,0.0,2014
87,9.0,장원삼,삼성,4.11,24.0,11.0,5.0,0.0,0.0,0.688,129 1/3,149.0,16.0,37.0,5.0,63.0,70.0,59.0,1.44,4.11,0.0,0.0,11.0,0.0,562.0,2120.0,0.295,33.0,2.0,6.0,9.0,0.0,6.0,0.0,2014
88,10.0,옥스프링,롯데,4.2,32.0,10.0,8.0,0.0,0.0,0.556,184 1/3,184.0,20.0,63.0,5.0,130.0,93.0,86.0,1.34,4.2,0.0,0.0,16.0,0.0,781.0,3134.0,0.264,48.0,1.0,12.0,4.0,1.0,1.0,0.0,2014
89,11.0,이재학,NC,4.21,29.0,10.0,9.0,0.0,0.0,0.526,156,152.0,16.0,68.0,8.0,131.0,77.0,73.0,1.41,4.21,1.0,0.0,13.0,0.0,668.0,2595.0,0.264,28.0,2.0,12.0,4.0,0.0,2.0,0.0,2014
90,12.0,양현종,KIA,4.25,29.0,16.0,8.0,0.0,0.0,0.667,171 1/3,162.0,12.0,77.0,4.0,165.0,85.0,81.0,1.39,4.25,0.0,0.0,17.0,0.0,732.0,2878.0,0.253,30.0,6.0,7.0,3.0,1.0,5.0,0.0,2014
91,13.0,윤성환,삼성,4.39,28.0,12.0,7.0,0.0,0.0,0.632,170 1/3,196.0,18.0,37.0,8.0,133.0,87.0,83.0,1.37,4.39,1.0,1.0,13.0,0.0,728.0,2807.0,0.295,30.0,4.0,12.0,6.0,0.0,4.0,0.0,2014
92,14.0,유희관,두산,4.42,30.0,12.0,9.0,0.0,0.0,0.5710000000000001,177 1/3,202.0,21.0,51.0,8.0,112.0,98.0,87.0,1.43,4.42,1.0,0.0,14.0,0.0,779.0,2992.0,0.28600000000000003,41.0,6.0,11.0,3.0,0.0,5.0,0.0,2014
