,Rk,Name,To Team,From Team,Age,WAR3,Yrs,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO,Date
71,72,Mike Moustakas\moustmi01,Milwaukee Brewers,MIL,30,5.1,8,988.0,3611.0,408.0,908.0,147.0,474.0,15.0,263.0,0.251,0.307,0.431,0.737,,,,,,,,,,,,,2019
72,73,Tyler Pill\pillty01,Texas Rangers,LAD,29,-0.3,1,,,,,,,,,,,,,,,,,,,,,,,,,2019
73,74,Ramon Torres\torrera01,Chicago White Sox,KCR,26,-0.1,2,42.0,102.0,13.0,23.0,0.0,5.0,1.0,5.0,0.225,0.26899999999999996,0.265,0.5329999999999999,,,,,,,,,,,,,2019
74,75,Luke Bard\bardlu01,Los Angeles Angels,MIN,28,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,5.4,1.286,8.0,0.0,0.0,11.2,10.0,4.0,5.0,13.0,2019
75,76,Rookie Davis\davisro03,Pittsburgh Pirates,CIN,26,-0.8,1,7.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16699999999999998,0.28600000000000003,0.33299999999999996,0.619,1.0,3.0,8.63,2.167,7.0,6.0,0.0,24.0,38.0,7.0,14.0,20.0,2019
76,77,Adeiny Hechavarria\hechaad01,New York Mets,NYY,30,3.5,7,811.0,2809.0,270.0,714.0,28.0,238.0,32.0,145.0,0.254,0.29,0.345,0.635,,,,,,,,,,,,,2019
77,78,Yangervis Solarte\solarya01,San Francisco Giants,TOR,31,2.8,5,642.0,2334.0,273.0,605.0,74.0,300.0,6.0,185.0,0.259,0.317,0.41,0.728,,,,,,,,,,,,,2019
78,79,Aaron Loup\loupaa01,San Diego Padres,PHI,31,1.1,7,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,20.0,3.49,1.271,378.0,0.0,6.0,322.2,311.0,25.0,99.0,299.0,2019
79,80,Adam Moore\mooread01,Texas Rangers,TBR,35,-0.1,9,104.0,292.0,21.0,58.0,7.0,23.0,2.0,13.0,0.19899999999999998,0.239,0.312,0.55,,,,,,,,,,,,,2019
80,81,Robbie Grossman\grossro01,Oakland Athletics,MIN,29,2.4,6,537.0,1776.0,239.0,455.0,36.0,193.0,20.0,265.0,0.256,0.355,0.37799999999999995,0.732,,,,,,,,,,,,,2019
81,82,Sergio Romo\romose01,Miami Marlins,TBR,36,1.7,11,533.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,31.0,2.86,1.006,643.0,5.0,109.0,562.2,438.0,59.0,128.0,632.0,2019
82,83,Xavier Cedeno\cedenxa01,Chicago Cubs,MIL,32,0.9,8,96.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,3.69,1.3659999999999999,249.0,0.0,3.0,175.2,171.0,16.0,69.0,174.0,2019
83,84,Andrew Faulkner\faulkan01,Los Angeles Dodgers,BAL,26,-0.3,3,,,,,,,,,,,,,,,,,,,,,,,,,2019
84,85,Tim Federowicz\federti01,Cleveland Indians,CIN,31,-0.3,7,134.0,331.0,25.0,66.0,8.0,32.0,0.0,20.0,0.19899999999999998,0.247,0.32299999999999995,0.57,,,,,,,,,,,,,2019
85,86,Craig Gentry\gentrcr01,San Francisco Giants,BAL,35,0.9,10,601.0,1242.0,180.0,325.0,7.0,104.0,94.0,102.0,0.262,0.33299999999999996,0.33899999999999997,0.672,,,,,,,,,,,,,2019
86,87,Gerardo Parra\parrage01,San Francisco Giants,COL,32,-1.6,10,1347.0,4487.0,582.0,1248.0,79.0,474.0,88.0,293.0,0.278,0.325,0.405,0.73,,,,,,,,,,,,,2019
87,88,Stephen Vogt\vogtst01,San Francisco Giants,MIL,34,1.9,6,521.0,1643.0,181.0,413.0,57.0,218.0,1.0,139.0,0.251,0.31,0.41600000000000004,0.726,,,,,,,,,,,,,2019
88,89,Asher Wojciechowski\wojcias01,Cleveland Indians,CHW,30,-1.0,2,23.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.071,0.071,0.071,0.14300000000000002,4.0,4.0,6.64,1.525,30.0,11.0,0.0,78.2,94.0,16.0,26.0,80.0,2019
89,90,Brett Anderson\anderbr04,Oakland Athletics,OAK,31,-0.7,10,53.0,79.0,1.0,8.0,0.0,5.0,0.0,6.0,0.10099999999999999,0.165,0.139,0.304,46.0,52.0,4.09,1.341,157.0,145.0,3.0,821.1,884.0,78.0,217.0,592.0,2019
90,91,Jake Diekman\diekmja01,Kansas City Royals,ARI,32,1.4,7,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,14.0,15.0,3.75,1.3969999999999998,365.0,0.0,7.0,312.0,267.0,20.0,169.0,383.0,2019
91,92,Jandel Gustave\gustaja01,San Francisco Giants,HOU,26,0.1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,3.98,1.426,20.0,0.0,0.0,20.1,18.0,2.0,11.0,18.0,2019
92,93,Caleb Joseph\josepca01,Arizona Diamondbacks,BAL,33,1.0,5,402.0,1217.0,126.0,272.0,31.0,122.0,2.0,71.0,0.22399999999999998,0.271,0.353,0.623,,,,,,,,,,,,,2019
93,94,Aaron Barrett\barreaa01,Washington Nationals,WSN,31,,2,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,6.0,3.0,3.47,1.2570000000000001,90.0,0.0,0.0,70.0,61.0,2.0,27.0,84.0,2019
94,95,Vidal Nuno III\nunovi01,Washington Nationals,TBR,31,1.6,6,24.0,28.0,2.0,4.0,0.0,2.0,0.0,0.0,0.14300000000000002,0.172,0.14300000000000002,0.315,8.0,21.0,4.06,1.2790000000000001,155.0,42.0,0.0,377.0,377.0,65.0,105.0,312.0,2019
95,96,Brandon Snyder\snydebr03,Washington Nationals,TBR,32,0.3,6,122.0,200.0,27.0,48.0,9.0,29.0,0.0,7.0,0.24,0.276,0.455,0.731,,,,,,,,,,,,,2019
96,97,Brad Brach\brachbr01,Chicago Cubs,ATL,33,4.0,8,159.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,23.0,3.08,1.274,424.0,0.0,33.0,456.0,380.0,46.0,201.0,482.0,2019
97,98,Melky Cabrera\cabreme01,Pittsburgh Pirates,CLE,34,2.3,14,1754.0,6500.0,852.0,1856.0,137.0,807.0,99.0,493.0,0.28600000000000003,0.335,0.418,0.753,,,,,,,,,,,,,2019
98,99,Zach Duke\dukeza01,Cincinnati Reds,SEA,36,2.5,14,347.0,318.0,17.0,57.0,2.0,23.0,0.0,12.0,0.179,0.20800000000000002,0.22,0.428,66.0,90.0,4.3,1.4469999999999998,540.0,169.0,4.0,1336.2,1533.0,128.0,401.0,836.0,2019
99,100,Francisco Pena\penafr01,St. Louis Cardinals,STL,29,-0.8,5,86.0,190.0,18.0,41.0,5.0,13.0,1.0,8.0,0.21600000000000003,0.249,0.311,0.5589999999999999,,,,,,,,,,,,,2019
100,101,Homer Bailey\baileho02,Kansas City Royals,LAD,33,-2.6,12,205.0,368.0,22.0,59.0,0.0,17.0,0.0,11.0,0.16,0.187,0.182,0.369,67.0,77.0,4.56,1.3769999999999998,212.0,212.0,0.0,1230.1,1287.0,153.0,407.0,1001.0,2019
